4933401J01Rik	chr1	3073253	3074322
Gm26206	chr1	3102016	3102125
Xkr4	chr1	3205901	3671498
Gm18956	chr1	3252757	3253236
Gm37180	chr1	3365731	3368549
Gm37363	chr1	3375556	3377788
Gm37686	chr1	3464977	3467285
Gm1992	chr1	3466587	3513553
Gm37329	chr1	3512451	3514507
Gm7341	chr1	3531795	3532720
Gm38148	chr1	3592892	3595903
Gm19938	chr1	3647309	3658904
Gm10568	chr1	3680155	3681788
Gm38385	chr1	3752010	3754360
Gm27396	chr1	3783876	3783933
Gm37381	chr1	3905739	3986215
Rp1	chr1	3999557	4409241
Gm6101	chr1	4256234	4260519
Gm37483	chr1	4363346	4364829
Sox17	chr1	4490931	4497354
Gm37587	chr1	4496551	4499558
Gm7357	chr1	4522905	4526737
Gm22307	chr1	4529017	4529123
Gm38076	chr1	4534837	4535286
Gm37323	chr1	4583129	4586252
Gm7369	chr1	4610471	4611406
Gm6085	chr1	4687934	4689403
Gm6119	chr1	4692219	4693424
Gm25493	chr1	4723277	4723379
Gm2053	chr1	4735046	4735676
Gm6123	chr1	4771131	4772199
Mrpl15	chr1	4773206	4785739
Gm37144	chr1	4778063	4779212
Lypla1	chr1	4807788	4848410
Gm37988	chr1	4807892	4886770
Tcea1	chr1	4857814	4897909
Gm6104	chr1	4880049	4880651
Gm37277	chr1	4905751	4906861
Rgs20	chr1	4909576	5070285
Gm17100	chr1	4927028	4927299
Gm37079	chr1	4938576	4940710
Gm16041	chr1	4970857	4976820
Gm17101	chr1	5063060	5064647
Atp6v1h	chr1	5070018	5162529
Gm7182	chr1	5276106	5277337
Gm37567	chr1	5307739	5310017
Gm38264	chr1	5403547	5405578
Oprk1	chr1	5588466	5606131
Gm36965	chr1	5617837	5618230
Gm22463	chr1	5644645	5644745
Gm37429	chr1	5842874	5844672
Npbwr1	chr1	5913707	5917398
Gm19214	chr1	6048963	6050045
Rb1cc1	chr1	6206197	6276648
4732440D04Rik	chr1	6209866	6215293
Alkal1	chr1	6359218	6394731
Gm2147	chr1	6380394	6381032
Gm7417	chr1	6382634	6383106
Gm19026	chr1	6429655	6441296
St18	chr1	6487231	6860940
Gm42492	chr1	6861237	6864151
Gm7449	chr1	6910560	6911222
Gm37108	chr1	6916559	6923588
Gm37275	chr1	6929759	6929788
Gm37225	chr1	6998217	6998541
Gm37489	chr1	7013762	7013920
Gm5694	chr1	7035915	7037217
Pcmtd1	chr1	7088920	7173628
Gm26983	chr1	7136199	7136586
Gm38372	chr1	7148110	7152137
Gm9826	chr1	7177739	7179037
Nras-ps2	chr1	7189742	7189919
Gm23274	chr1	7265803	7265932
Gm19002	chr1	7315451	7316462
Gm26901	chr1	7349406	7397869
Gm18984	chr1	7410679	7411993
Gm30414	chr1	7497968	7518149
Gm37791	chr1	7591646	7591931
Gm7470	chr1	7597379	7599473
Rps2-ps2	chr1	7664081	7664961
Gm38216	chr1	7728861	7730565
Sntg1	chr1	8361475	9299878
Gm38024	chr1	8450960	8453491
Gm16284	chr1	8468426	8468825
Gm38259	chr1	8527780	8531313
Gm23358	chr1	8588615	8588724
Gm37005	chr1	8643696	8644859
Gm15452	chr1	8791923	8792162
Gm36964	chr1	8815842	8816039
Gm24276	chr1	8816138	8816247
Gm6152	chr1	8855928	8856267
Gm7445	chr1	8856763	8857102
Gm7493	chr1	8962996	8963621
Gm37629	chr1	9191067	9192116
Gm38008	chr1	9258617	9259134
Gm37143	chr1	9286922	9290180
Gm6187	chr1	9396773	9398687
Gm18299	chr1	9439741	9440376
